Key,County,State,Country,Update,Confirmed,Deaths,Recovered,Active
"Abbeville, South Carolina, US",abbeville,south-carolina,US,2020-04-22 23:30:53,22,0,0,22
"Acadia, Louisiana, US",acadia,louisiana,US,2020-04-22 23:30:53,117,7,0,110
"Accomack, Virginia, US",accomack,virginia,US,2020-04-22 23:30:53,59,1,0,58
"Ada, Idaho, US",ada,idaho,US,2020-04-22 23:30:53,622,12,0,610
"Adair, Iowa, US",adair,iowa,US,2020-04-22 23:30:53,1,0,0,1
"Adair, Kentucky, US",adair,kentucky,US,2020-04-22 23:30:53,60,4,0,56
"Adair, Missouri, US",adair,missouri,US,2020-04-22 23:30:53,12,0,0,12
"Adair, Oklahoma, US",adair,oklahoma,US,2020-04-22 23:30:53,49,3,0,46
"Adams, Colorado, US",adams,colorado,US,2020-04-22 23:30:53,1033,46,0,987
"Adams, Idaho, US",adams,idaho,US,2020-04-22 23:30:53,3,0,0,3
"Adams, Illinois, US",adams,illinois,US,2020-04-22 23:30:53,29,0,0,29
"Adams, Indiana, US",adams,indiana,US,2020-04-22 23:30:53,7,1,0,6
"Adams, Mississippi, US",adams,mississippi,US,2020-04-22 23:30:53,96,7,0,89
"Adams, Nebraska, US",adams,nebraska,US,2020-04-22 23:30:53,103,0,0,103
"Adams, Ohio, US",adams,ohio,US,2020-04-22 23:30:53,4,0,0,4
"Adams, Pennsylvania, US",adams,pennsylvania,US,2020-04-22 23:30:53,92,2,0,90
"Adams, Washington, US",adams,washington,US,2020-04-22 23:30:53,44,0,0,44
"Adams, Wisconsin, US",adams,wisconsin,US,2020-04-22 23:30:53,4,1,0,3
"Addison, Vermont, US",addison,vermont,US,2020-04-22 23:30:53,61,2,0,59
"Aiken, South Carolina, US",aiken,south-carolina,US,2020-04-22 23:30:53,82,4,0,78
"Aitkin, Minnesota, US",aitkin,minnesota,US,2020-04-22 23:30:53,1,0,0,1
"Alachua, Florida, US",alachua,florida,US,2020-04-22 23:30:53,227,1,0,226
"Alamance, North Carolina, US",alamance,north-carolina,US,2020-04-22 23:30:53,60,0,0,60
"Alameda, California, US",alameda,california,US,2020-04-22 23:30:53,1242,43,0,1199
"Alamosa, Colorado, US",alamosa,colorado,US,2020-04-22 23:30:53,9,2,0,7
"Albany, New York, US",albany,new-york,US,2020-04-22 23:30:53,737,23,0,714
"Albany, Wyoming, US",albany,wyoming,US,2020-04-22 23:30:53,6,0,0,6
"Albemarle, Virginia, US",albemarle,virginia,US,2020-04-22 23:30:53,68,3,0,65
"Alcona, Michigan, US",alcona,michigan,US,2020-04-22 23:30:53,4,0,0,4
"Alcorn, Mississippi, US",alcorn,mississippi,US,2020-04-22 23:30:53,7,0,0,7
"Alexander, Illinois, US",alexander,illinois,US,2020-04-22 23:30:53,2,0,0,2
"Alexander, North Carolina, US",alexander,north-carolina,US,2020-04-22 23:30:53,4,0,0,4
"Alexandria, Virginia, US",alexandria,virginia,US,2020-04-22 23:30:53,474,12,0,462
"Alfalfa, Oklahoma, US",alfalfa,oklahoma,US,2020-04-22 23:30:53,1,0,0,1
"Allamakee, Iowa, US",allamakee,iowa,US,2020-04-22 23:30:53,45,3,0,42
"Allegan, Michigan, US",allegan,michigan,US,2020-04-22 23:30:53,50,0,0,50
"Allegany, Maryland, US",allegany,maryland,US,2020-04-22 23:38:40,58,3,0,55
"Allegany, New York, US",allegany,new-york,US,2020-04-22 23:30:53,30,2,0,28
"Alleghany, North Carolina, US",alleghany,north-carolina,US,2020-04-22 23:30:53,2,0,0,2
"Alleghany, Virginia, US",alleghany,virginia,US,2020-04-22 23:30:53,5,0,0,5
"Allegheny, Pennsylvania, US",allegheny,pennsylvania,US,2020-04-22 23:30:53,1088,74,0,1014
"Allen, Indiana, US",allen,indiana,US,2020-04-22 23:30:53,343,27,0,316
"Allen, Kentucky, US",allen,kentucky,US,2020-04-22 23:30:53,5,0,0,5
"Allen, Louisiana, US",allen,louisiana,US,2020-04-22 23:30:53,80,9,0,71
"Allen, Ohio, US",allen,ohio,US,2020-04-22 23:30:53,94,12,0,82
"Allendale, South Carolina, US",allendale,south-carolina,US,2020-04-22 23:30:53,6,0,0,6
"Alpena, Michigan, US",alpena,michigan,US,2020-04-22 23:30:53,38,1,0,37
"Alpine, California, US",alpine,california,US,2020-04-22 23:30:53,2,0,0,2
"Amador, California, US",amador,california,US,2020-04-22 23:30:53,8,0,0,8
"Amelia, Virginia, US",amelia,virginia,US,2020-04-22 23:30:53,15,1,0,14
"Amherst, Virginia, US",amherst,virginia,US,2020-04-22 23:30:53,10,1,0,9
"Amite, Mississippi, US",amite,mississippi,US,2020-04-22 23:30:53,20,1,0,19
"Anchorage, Alaska, US",anchorage,alaska,US,2020-04-22 23:30:53,164,4,0,160
"Anderson, Kansas, US",anderson,kansas,US,2020-04-22 23:30:53,0,0,0,0
"Anderson, Kentucky, US",anderson,kentucky,US,2020-04-22 23:30:53,7,1,0,6
"Anderson, South Carolina, US",anderson,south-carolina,US,2020-04-22 23:30:53,135,5,0,130
"Anderson, Tennessee, US",anderson,tennessee,US,2020-04-22 23:30:53,21,1,0,20
"Anderson, Texas, US",anderson,texas,US,2020-04-22 23:30:53,14,0,0,14
"Andrew, Missouri, US",andrew,missouri,US,2020-04-22 23:30:53,1,0,0,1
"Andrews, Texas, US",andrews,texas,US,2020-04-22 23:30:53,19,0,0,19
"Androscoggin, Maine, US",androscoggin,maine,US,2020-04-22 23:30:53,36,1,0,35
"Angelina, Texas, US",angelina,texas,US,2020-04-22 23:30:53,30,0,0,30
"Anne Arundel, Maryland, US",anne-arundel,maryland,US,2020-04-22 23:38:40,1190,56,0,1134
"Anoka, Minnesota, US",anoka,minnesota,US,2020-04-22 23:30:53,105,2,0,103
"Anson, North Carolina, US",anson,north-carolina,US,2020-04-22 23:30:53,19,0,0,19
"Antelope, Nebraska, US",antelope,nebraska,US,2020-04-22 23:30:53,1,0,0,1
"Antrim, Michigan, US",antrim,michigan,US,2020-04-22 23:30:53,9,0,0,9
"Apache, Arizona, US",apache,arizona,US,2020-04-22 23:30:53,235,5,0,230
"Appanoose, Iowa, US",appanoose,iowa,US,2020-04-22 23:30:53,2,2,0,0
"Appling, Georgia, US",appling,georgia,US,2020-04-22 23:30:53,47,2,0,45
"Appomattox, Virginia, US",appomattox,virginia,US,2020-04-22 23:30:53,10,0,0,10
"Aransas, Texas, US",aransas,texas,US,2020-04-22 23:30:53,2,0,0,2
"Arapahoe, Colorado, US",arapahoe,colorado,US,2020-04-22 23:30:53,1717,87,0,1630
"Archuleta, Colorado, US",archuleta,colorado,US,2020-04-22 23:30:53,9,0,0,9
"Arenac, Michigan, US",arenac,michigan,US,2020-04-22 23:30:53,13,1,0,12
"Arkansas, Arkansas, US",arkansas,arkansas,US,2020-04-22 23:30:53,2,0,0,2
"Arlington, Virginia, US",arlington,virginia,US,2020-04-22 23:30:53,663,24,0,639
"Armstrong, Pennsylvania, US",armstrong,pennsylvania,US,2020-04-22 23:30:53,39,2,0,37
"Armstrong, Texas, US",armstrong,texas,US,2020-04-22 23:30:53,1,0,0,1
"Aroostook, Maine, US",aroostook,maine,US,2020-04-22 23:30:53,2,0,0,2
"Ascension, Louisiana, US",ascension,louisiana,US,2020-04-22 23:30:53,533,33,0,500
"Ashe, North Carolina, US",ashe,north-carolina,US,2020-04-22 23:30:53,4,0,0,4
"Ashland, Ohio, US",ashland,ohio,US,2020-04-22 23:30:53,5,0,0,5
"Ashland, Wisconsin, US",ashland,wisconsin,US,2020-04-22 23:30:53,2,0,0,2
"Ashley, Arkansas, US",ashley,arkansas,US,2020-04-22 23:30:53,13,0,0,13
"Ashtabula, Ohio, US",ashtabula,ohio,US,2020-04-22 23:30:53,80,6,0,74
"Asotin, Washington, US",asotin,washington,US,2020-04-22 23:30:53,14,0,0,14
"Assumption, Louisiana, US",assumption,louisiana,US,2020-04-22 23:30:53,154,1,0,153
"Atascosa, Texas, US",atascosa,texas,US,2020-04-22 23:30:53,14,1,0,13
