State,County
alabama,autauga
alabama,baldwin
alabama,barbour
alabama,bibb
alabama,blount
alabama,bullock
alabama,butler
alabama,calhoun
alabama,chambers
alabama,cherokee
alabama,chilton
alabama,choctaw
alabama,clarke
alabama,clay
alabama,cleburne
alabama,coffee
alabama,colbert
alabama,conecuh
alabama,coosa
alabama,covington
alabama,crenshaw
alabama,cullman
alabama,dale
alabama,dallas
alabama,dekalb
alabama,elmore
alabama,escambia
alabama,etowah
alabama,fayette
alabama,franklin
alabama,greene
alabama,hale
alabama,henry
alabama,houston
alabama,jackson
alabama,jefferson
alabama,lamar
alabama,lauderdale
alabama,lawrence
alabama,lee
alabama,limestone
alabama,lowndes
alabama,macon
alabama,madison
alabama,marengo
alabama,marion
alabama,marshall
alabama,mobile
alabama,monroe
alabama,montgomery
alabama,morgan
alabama,perry
alabama,pickens
alabama,pike
alabama,randolph
alabama,russell
alabama,shelby
alabama,st.-clair
alabama,sumter
alabama,talladega
alabama,tallapoosa
alabama,tuscaloosa
alabama,walker
alabama,washington
alabama,wilcox
alabama,winston
alaska,anchorage
alaska,fairbanks-north-star
alaska,juneau
alaska,kenai-peninsula
alaska,ketchikan-gateway
alaska,matanuska-susitna
alaska,petersburg
alaska,southeast-fairbanks
alaska,unassigned
alaska,yukon-koyukuk
arizona,apache
arizona,cochise
arizona,coconino
arizona,gila
arizona,graham
arizona,greenlee
arizona,la-paz
arizona,maricopa
arizona,mohave
arizona,navajo
arizona,pima
arizona,pinal
arizona,santa-cruz
arizona,unassigned
arizona,yavapai
arizona,yuma
arkansas,arkansas
arkansas,ashley
arkansas,baxter
arkansas,benton
arkansas,boone
arkansas,bradley
arkansas,carroll
arkansas,chicot
arkansas,clark
arkansas,cleburne
arkansas,cleveland
arkansas,columbia
arkansas,conway
arkansas,craighead
arkansas,crawford
arkansas,crittenden
arkansas,cross
arkansas,dallas
arkansas,desha
arkansas,drew
arkansas,faulkner
arkansas,garland
arkansas,grant
arkansas,greene
arkansas,hempstead
arkansas,hot-spring
arkansas,howard
arkansas,independence
arkansas,jefferson
arkansas,johnson
arkansas,lafayette
arkansas,lawrence
arkansas,lee
arkansas,lincoln
arkansas,lonoke
arkansas,miller
arkansas,mississippi
arkansas,monroe
arkansas,nevada
arkansas,newton
arkansas,ouachita
arkansas,perry
arkansas,phillips
arkansas,pike
arkansas,poinsett
arkansas,polk
arkansas,pope
arkansas,prairie
arkansas,pulaski
arkansas,randolph
arkansas,saline
arkansas,scott
arkansas,searcy
arkansas,sebastian
arkansas,sevier
arkansas,sharp
arkansas,st.-francis
arkansas,stone
arkansas,unassigned
arkansas,union
arkansas,van-buren
arkansas,washington
arkansas,white
arkansas,woodruff
arkansas,yell
california,alameda
california,alpine
california,amador
california,butte
california,calaveras
california,colusa
california,contra-costa
california,del-norte
california,el-dorado
california,fresno
california,glenn
california,humboldt
california,imperial
california,inyo
california,kern
california,kings
california,lake
california,los-angeles
california,madera
california,marin
california,mendocino
california,merced
california,mono
california,monterey
california,napa
california,nevada
california,orange
california,placer
california,plumas
california,riverside
california,sacramento
california,san-benito
california,san-bernardino
california,san-diego
california,san-francisco
california,san-joaquin
california,san-luis-obispo
california,san-mateo
california,santa-barbara
california,santa-clara
california,santa-cruz
california,shasta
california,siskiyou
california,solano
california,sonoma
california,stanislaus
california,sutter
california,tehama
california,tulare
california,tuolumne
california,unassigned
california,ventura
california,yolo
california,yuba
colorado,adams
colorado,alamosa
colorado,arapahoe
colorado,archuleta
colorado,baca
colorado,boulder
colorado,broomfield
colorado,chaffee
colorado,clear-creek
colorado,costilla
colorado,crowley
colorado,custer
colorado,delta
colorado,denver
colorado,douglas
colorado,eagle
colorado,el-paso
colorado,elbert
colorado,fremont
colorado,garfield
colorado,grand
colorado,gunnison
colorado,hinsdale
colorado,huerfano
colorado,jefferson
colorado,kit-carson
colorado,la-plata
colorado,lake
colorado,larimer
colorado,las-animas
colorado,lincoln
colorado,logan
colorado,mesa
colorado,mineral
colorado,moffat
colorado,montezuma
colorado,montrose
colorado,morgan
colorado,otero
colorado,ouray
colorado,out-of-co
colorado,park
colorado,phillips
colorado,pitkin
colorado,pueblo
colorado,rio-blanco
colorado,rio-grande
colorado,routt
colorado,saguache
colorado,san-miguel
colorado,summit
colorado,teller
colorado,unassigned
colorado,washington
colorado,weld
colorado,yuma
connecticut,fairfield
connecticut,hartford
connecticut,litchfield
connecticut,middlesex
connecticut,new-haven
connecticut,new-london
connecticut,tolland
connecticut,unassigned
connecticut,windham
delaware,kent
delaware,new-castle
delaware,sussex
delaware,unassigned
diamond-princess,
district-of-columbia,district-of-columbia
florida,alachua
florida,baker
florida,bay
florida,bradford
florida,brevard
florida,broward
florida,calhoun
florida,charlotte
florida,citrus
florida,clay
florida,collier
florida,columbia
florida,desoto
florida,dixie
florida,duval
florida,escambia
florida,flagler
florida,franklin
florida,gadsden
florida,glades
florida,gulf
florida,hamilton
florida,hardee
florida,hendry
florida,hernando
florida,highlands
florida,hillsborough
florida,holmes
florida,indian-river
florida,jackson
florida,jefferson
florida,lake
florida,lee
florida,leon
florida,levy
florida,madison
florida,manatee
florida,marion
florida,martin
florida,miami-dade
florida,monroe
florida,nassau
florida,okaloosa
florida,okeechobee
florida,orange
florida,osceola
florida,palm-beach
florida,pasco
florida,pinellas
florida,polk
florida,putnam
florida,santa-rosa
florida,sarasota
florida,seminole
florida,st.-johns
florida,st.-lucie
florida,sumter
florida,suwannee
florida,unassigned
florida,union
florida,volusia
florida,wakulla
florida,walton
florida,washington
georgia,appling
georgia,bacon
georgia,baker
georgia,baldwin
georgia,banks
georgia,barrow
georgia,bartow
georgia,ben-hill
georgia,berrien
georgia,bibb
georgia,bleckley
georgia,brantley
georgia,brooks
georgia,bryan
georgia,bulloch
georgia,burke
georgia,butts
georgia,calhoun
georgia,camden
georgia,candler
georgia,carroll
georgia,catoosa
georgia,charlton
georgia,chatham
georgia,chattahoochee
georgia,chattooga
georgia,cherokee
georgia,clarke
georgia,clay
georgia,clayton
georgia,clinch
georgia,cobb
georgia,coffee
georgia,colquitt
georgia,columbia
georgia,cook
georgia,coweta
georgia,crawford
georgia,crisp
georgia,dade
georgia,dawson
georgia,decatur
georgia,dekalb
georgia,dodge
georgia,dooly
georgia,dougherty
georgia,douglas
georgia,early
georgia,effingham
georgia,elbert
georgia,emanuel
georgia,fannin
georgia,fayette
georgia,floyd
georgia,forsyth
georgia,franklin
georgia,fulton
georgia,gilmer
georgia,glynn
georgia,gordon
georgia,grady
georgia,greene
georgia,gwinnett
georgia,habersham
georgia,hall
georgia,haralson
georgia,harris
georgia,hart
georgia,heard
georgia,henry
georgia,houston
georgia,irwin
georgia,jackson
georgia,jasper
georgia,jeff-davis
georgia,jefferson
georgia,jenkins
georgia,johnson
georgia,jones
georgia,lamar
georgia,lanier
georgia,laurens
georgia,lee
georgia,liberty
georgia,lincoln
georgia,long
georgia,lowndes
georgia,lumpkin
georgia,macon
georgia,madison
georgia,marion
georgia,mcduffie
georgia,mcintosh
georgia,meriwether
georgia,miller
georgia,mitchell
georgia,monroe
georgia,morgan
georgia,murray
georgia,muscogee
georgia,newton
georgia,oconee
georgia,oglethorpe
georgia,paulding
georgia,peach
georgia,pickens
georgia,pierce
georgia,pike
georgia,polk
georgia,pulaski
georgia,putnam
georgia,quitman
georgia,rabun
georgia,randolph
georgia,richmond
georgia,rockdale
georgia,schley
georgia,screven
georgia,seminole
georgia,spalding
georgia,stephens
georgia,stewart
georgia,sumter
georgia,talbot
georgia,tattnall
georgia,taylor
georgia,telfair
georgia,terrell
georgia,thomas
georgia,tift
georgia,toombs
georgia,towns
georgia,treutlen
georgia,troup
georgia,turner
georgia,twiggs
georgia,unassigned
georgia,union
georgia,upson
georgia,walker
georgia,walton
georgia,ware
georgia,warren
georgia,washington
georgia,wayne
georgia,webster
georgia,wheeler
georgia,white
georgia,whitfield
georgia,wilcox
georgia,wilkes
georgia,wilkinson
georgia,worth
grand-princess,
guam,
hawaii,hawaii
hawaii,honolulu
hawaii,kauai
hawaii,maui
hawaii,out-of-hi
hawaii,unassigned
idaho,ada
idaho,adams
idaho,bannock
idaho,bingham
idaho,blaine
idaho,bonner
idaho,bonneville
idaho,camas
idaho,canyon
idaho,caribou
idaho,cassia
idaho,custer
idaho,elmore
idaho,fremont
idaho,gem
idaho,gooding
idaho,idaho
idaho,jefferson
idaho,jerome
idaho,kootenai
idaho,latah
idaho,lewis
idaho,lincoln
idaho,madison
idaho,minidoka
idaho,nez-perce
idaho,owyhee
idaho,payette
idaho,teton
idaho,twin-falls
idaho,unassigned
idaho,valley
idaho,washington
illinois,adams
illinois,bond
illinois,boone
illinois,bureau
illinois,calhoun
illinois,carroll
illinois,champaign
illinois,christian
illinois,clark
illinois,clinton
illinois,cook
illinois,crawford
illinois,cumberland
illinois,de-witt
illinois,dekalb
illinois,douglas
illinois,dupage
illinois,effingham
illinois,fayette
illinois,ford
illinois,franklin
illinois,gallatin
illinois,grundy
illinois,henry
illinois,iroquois
illinois,jackson
illinois,jasper
illinois,jefferson
illinois,jersey
illinois,jo-daviess
illinois,kane
illinois,kankakee
illinois,kendall
illinois,knox
illinois,lake
illinois,lasalle
illinois,lee
illinois,livingston
illinois,logan
illinois,macon
illinois,macoupin
illinois,madison
illinois,marion
illinois,marshall
illinois,mason
illinois,massac
illinois,mchenry
illinois,mclean
illinois,menard
illinois,mercer
illinois,monroe
illinois,montgomery
illinois,morgan
illinois,moultrie
illinois,ogle
illinois,peoria
illinois,piatt
illinois,pike
illinois,randolph
illinois,rock-island
illinois,saline
illinois,sangamon
illinois,st.-clair
illinois,stephenson
illinois,tazewell
illinois,unassigned
illinois,vermilion
illinois,wabash
illinois,washington
illinois,whiteside
illinois,will
illinois,williamson
illinois,winnebago
illinois,woodford
indiana,adams
indiana,allen
indiana,bartholomew
indiana,benton
indiana,blackford
indiana,boone
indiana,brown
indiana,carroll
indiana,cass
indiana,clark
indiana,clay
indiana,clinton
indiana,crawford
indiana,daviess
indiana,dearborn
indiana,decatur
indiana,dekalb
indiana,delaware
indiana,dubois
indiana,elkhart
indiana,fayette
indiana,floyd
indiana,fountain
indiana,franklin
indiana,fulton
indiana,gibson
indiana,grant
indiana,greene
indiana,hamilton
indiana,hancock
indiana,harrison
indiana,hendricks
indiana,henry
indiana,howard
indiana,huntington
indiana,jackson
indiana,jasper
indiana,jay
indiana,jefferson
indiana,jennings
indiana,johnson
indiana,knox
indiana,kosciusko
indiana,lagrange
indiana,lake
indiana,laporte
indiana,lawrence
indiana,madison
indiana,marion
indiana,marshall
indiana,martin
indiana,miami
indiana,monroe
indiana,montgomery
indiana,morgan
indiana,newton
indiana,noble
indiana,ohio
indiana,orange
indiana,owen
indiana,parke
indiana,porter
indiana,posey
indiana,putnam
indiana,randolph
indiana,ripley
indiana,rush
indiana,scott
indiana,shelby
indiana,spencer
indiana,st.-joseph
indiana,starke
indiana,steuben
indiana,sullivan
indiana,switzerland
indiana,tippecanoe
indiana,tipton
indiana,unassigned
indiana,union
indiana,vanderburgh
indiana,vermillion
indiana,vigo
indiana,wabash
indiana,warren
indiana,warrick
indiana,washington
indiana,wayne
indiana,wells
indiana,white
indiana,whitley
iowa,adair
iowa,allamakee
iowa,appanoose
iowa,audubon
iowa,benton
iowa,black-hawk
iowa,boone
iowa,bremer
iowa,buchanan
iowa,butler
iowa,carroll
iowa,cedar
iowa,cerro-gordo
iowa,chickasaw
iowa,clarke
iowa,clay
iowa,clayton
iowa,clinton
iowa,crawford
iowa,dallas
iowa,delaware
iowa,des-moines
iowa,dickinson
iowa,dubuque
iowa,fayette
